Timestamp,pres,temp1,umid,temp2,V450,B500,G550,Y570,O600,R650,temps1,temps2,lumina
10/28/2022 17:00,1001.895752,13.26947784,87.8326416,14.1713686,20.26861382,19.55698204,12.15554714,12.48567486,10.98987865,11.61010456,12.0078125,13.4375,87.06680107
10/28/2022 18:00,1001.820007,9.266426086,99.99694824,11.00410175,0.118538678,0.110758297,0.060983222,0.063564293,0.057654232,0.091970325,12.1640625,12.7109375,0.503469046
10/28/2022 19:00,1001.743835,7.139030457,99.99694824,9.050366402,0,0,0,0,0,0,12.25,12.046875,0
10/28/2022 20:00,1001.687195,5.526344299,99.99694824,7.796551704,0,0,0.001325722,0.001177117,0.001226686,0,12.265625,11.328125,0.003729525
10/28/2022 21:00,1001.466858,4.380050659,99.99694824,6.724011421,0,0,0.001325722,0.001177117,0.001226686,0,12.234375,10.7421875,0.003729525
10/28/2022 22:00,1001.468445,3.616409302,99.99694824,6.029126167,0,0,0,0,0,0,12.1484375,10.2890625,0
10/28/2022 23:00,1001.452393,3.124176025,99.99694824,5.601117134,0,0,0,0,0,0,12.03125,9.828125,0
10/29/2022 0:00,1001.410522,3.036521912,99.99694824,5.54572773,0,0,0,0,0,0,11.890625,9.5703125,0
10/29/2022 1:00,1001.171692,2.251533508,99.99694824,4.785382271,0,0,0,0,0,0,11.7421875,9.1484375,0
10/29/2022 2:00,1001.039612,1.485641479,99.99694824,4.140851021,0,0,0,0,0,0,11.59375,8.734375,0
10/29/2022 3:00,1000.857971,0.846748352,99.99694824,3.607098579,0,0,0,0,0,0,11.4375,8.34375,0
10/29/2022 4:00,1000.267822,0.559051514,99.99694824,3.395611763,0,0,0,0,0,0,11.2578125,8.015625,0
10/29/2022 5:00,1000.155762,0.26348114,99.99694824,3.113629341,0,0,0,0,0,0,11.09375,7.703125,0
10/29/2022 6:00,1000.253357,-0.102882385,99.99694824,2.751080513,0,0,0,0,0,0,10.9140625,7.421875,0
10/29/2022 7:00,999.9419556,-0.66142273,99.99694824,2.217328072,0.048015665,0.05212155,0.023863001,0.023542332,0.018400287,0.031039985,10.7421875,7.1328125,0.19698282
10/29/2022 8:00,1000.057495,-0.350120544,99.99694824,2.574841499,20.405159,24.34239006,14.1255703,14.88463879,11.89394474,13.70817661,10.5703125,6.890625,99.3598795
